month,total_appointments,completed,no_shows,cancellations,no_show_rate,avg_wait
"2025,01",805,710,58,37,7.20,14.27
"2025,02",678,607,50,21,7.37,13.61
"2025,03",767,665,71,31,9.26,13.64
"2025,04",741,648,57,36,7.69,13.72
"2025,05",735,650,60,25,8.16,13.49
"2025,06",692,622,49,21,7.08,13.45
"2025,07",779,699,57,23,7.32,13.45
"2025,08",777,704,47,26,6.05,13.64
"2025,09",724,645,48,31,6.63,13.25
"2025,10",793,695,67,31,8.45,13.38
"2025,11",742,663,47,32,6.33,13.64
"2025,12",749,673,53,23,7.08,13.55
"2026,01",780,692,67,21,8.59,13.66
"2026,02",698,626,48,24,6.88,13.69
"2026,03",798,714,52,32,6.52,13.64
"2026,04",739,659,45,35,6.09,13.76
"2026,05",758,666,65,27,8.58,13.61
"2026,06",701,631,47,23,6.70,13.50
"2026,07",791,712,60,19,7.59,13.13
"2026,08",753,687,43,23,5.71,13.80
